SMILES,JAK1,pIC50_JAK1,JAK2,pIC50_JAK2,JAK3,pIC50_JAK3,TYK2,pIC50_TYK2
C[C@@](O)(c1ccc(Nc2nn([C@@H]3CC[C@H](N4CCC4)C[C@H]3C#N)cc2C(=N)O)cc1)C(F)(F)F,0.15,0.823908741,8,-0.903089987,,,,
C[C@@](O)(c1ccc(Nc2nn([C@@H]3CC[C@H](O)C[C@H]3C#N)cc2C(=N)O)cc1)C(F)(F)F,0.6,0.22184875,4,-0.602059991,,,,
C[C@@](O)(c1ccc(Nc2nn([C@@H]3COCC[C@H]3C#N)cc2C(=N)O)cc1)C(F)F,2,-0.301029996,9,-0.954242509,,,,
C[C@@](O)(c1ccc(Nc2nn([C@@H]3COCC[C@H]3C#N)cc2C(N)=O)cc1)C(F)F,2,-0.301029996,9,-0.954242509,,,,
C[C@@](O)(c1ccc(Nc2nn([C@H]3CC[C@@H](O)C[C@@H]3C#N)cc2C(N)=O)cc1)C(F)(F)F,0.35,0.455931956,2,-0.301029996,,,,
C[C@@](O)(c1ccc(Nc2nn([C@H]3CC[C@H](N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1)C(F)(F)F,0.15,0.823908741,5,-0.698970004,,,,
C[C@@](O)(c1ccc(Nc2nn([C@H]3CC[C@H](O)C[C@@H]3C#N)cc2C(N)=O)cc1)C(F)(F)F,0.2,0.698970004,0.95,0.022276395,,,,
C[C@@](O)(c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cn1)C(F)(F)F,3,-0.477121255,15,-1.176091259,,,,
C[C@@](O)(c1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc1)C(F)F,0.05,1.301029996,0.2,0.698970004,,,,
C[C@@]1(C#N)CC[C@H](F)C[C@H]1n1cc(C(=N)O)c(Nc2ccc(F)cc2)n1,4,-0.602059991,11,-1.041392685,,,,
C[C@@]1(C#N)CCC[C@@H]1Nc1c(C(=N)O)cnn2cccc12,15,-1.176091259,31,-1.491361694,,,6,-0.77815125
C[C@@]1(C#N)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,61,-1.785329835,120,-2.079181246,74.3,-1.870988814,30,-1.477121255
C[C@@]1(C#N)CS(=O)(=O)C[C@@H]1n1cc(C(=N)O)c(Nc2ccc(F)cc2)n1,84,-1.924279286,292,-2.465382851,,,,
C[C@@]1(C#N)CS(=O)(=O)C[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,2,-0.301029996,18,-1.255272505,,,,
C[C@@]1(CO)CCC[C@@H]1Nc1c(C(=N)O)cnn2cccc12,,,,,,,34,-1.531478917
C[C@@]1(CO)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,250,-2.397940009,380,-2.579783597,155,-2.190331698,390,-2.591064607
C[C@@]1(F)CCC[C@@H]1Nc1c(C(=N)O)cnn2cc(-c3cccc(C(=N)O)c3)cc12,1.4,-0.146128036,,,,,,
C[C@@]1(F)CCC[C@@H]1Nc1c(C(=N)O)cnn2cc(-c3cncc4ccccc34)cc12,98.1,-1.991669007,,,,,,
C[C@@]1(F)CCC[C@@H]1Nc1c(C(=N)O)cnn2cc(N3CCCC3=O)cc12,3.8,-0.579783597,,,,,,
C[C@@]1(F)CCC[C@@H]1Nc1c(C(=N)O)cnn2cc(N3CCOCC3=O)cc12,13.4,-1.127104798,,,,,,
C[C@@]1(F)CCC[C@@H]1Nc1c(C(=N)O)cnn2cccc12,9,-0.954242509,130,-2.113943352,,,400,-2.602059991
C[C@@]1(F)CCC[C@@H]1Nc1c(C(N)=O)cnn2cccc12,190,-2.278753601,130,-2.113943352,53.5,-1.728353782,400,-2.602059991
C[C@@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,,,,,,,110,-2.041392685
C[C@@]1(NC#N)CCc2ccc(-c3ncnc4[nH]ccc34)cc21,203,-2.307496038,,,120,-2.079181246,,
C[C@@]1(O)CC[C@@H](n2cc(C(=N)O)c(Nc3ccc([C@@](C)(O)C(F)(F)F)cc3)n2)[C@H](C#N)C1,0.75,0.124938737,4,-0.602059991,,,,
C[C@@]1(O)CC[C@@H](n2cc(C(=N)O)c(Nc3ccc(Cl)cc3)n2)[C@H](C#N)C1,1,0,9,-0.954242509,,,,
C[C@@]1(O)CC[C@H](n2cc(C(N)=O)c(Nc3ccc([C@@](C)(O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,1,0,4,-0.602059991,,,,
C[C@@]1(O)CC[C@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,3,-0.477121255,17,-1.230448921,,,,
C[C@@]1(O)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,270,-2.431363764,400,-2.602059991,48,-1.681241237,190,-2.278753601
C[C@@H](c1ccccc1)N(C)c1ccnc(-n2cnc3ccncc32)n1,,,153,-2.184691431,940,-2.973127854,,
C[C@@H](c1ccccc1)n1c(=O)[nH]c2cnc(-c3cnc4ccc(F)cn34)nc21,,,68,-1.832508913,457,-2.6599162,,
C[C@@H](CC(F)(F)F)n1cc(-c2nc(-c3cnn(C[C@H](O)CO)c3)cn3nccc23)cn1,5500,-3.740362689,550,-2.740362689,,,550,-2.740362689
C[C@@H](CO)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,,,25,-1.397940009,,
C[C@@H](CO)C(=O)N1CC[C@H](Oc2ccc(-c3ncnc(Nc4ccc(N5CCN(C6COC6)CC5)cc4)n3)cc2C#N)[C@H](F)C1,,,546,-2.737192643,,,,
C[C@@H](CO)C(=O)N1CCC(Nc2ccc(-c3ncnc(Nc4ccc(N5CCN(C6COC6)CC5)cc4)n3)cc2C#N)[C@H](F)C1,,,546000,-5.737192643,,,,
