SMILES,JAK1,JAK1_true,JAK1_IC50,pIC50_JAK1,JAK2,JAK2_true,JAK2_IC50,pIC50_JAK2,JAK3,JAK3_true,JAK3_IC50,pIC50_JAK3,TYK2,TYK2_true,TYK2_IC50,pIC50_TYK2
Nc1ccc2ncnc(NCCc3ccc(Oc4ccccc4)cc3)c2c1,94.62,0,8793.680297,-3.944170672,102.82,0,20000,-4.301029996,96.88,0,15525.64103,-4.191049541,99.92,0,20000,-4.301029996
COc1ccc(S(=O)(=O)N(CCO)c2ccccc2CN(C)CC=Cc2ccc(Cl)cc2)cc1,111.19,0,20000,-4.301029996,98.35,0,20000,-4.301029996,96.96,0,15947.36842,-4.202689028,109.93,0,20000,-4.301029996
Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,95.08,0,9662.601626,-3.985094075,99.13,0,20000,-4.301029996,97.36,0,18439.39394,-4.265746643,109.38,0,20000,-4.301029996
O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,105.07,0,20000,-4.301029996,91.98,0,5734.413965,-3.758489041,103.8,0,20000,-4.301029996,106.81,0,20000,-4.301029996
c1ccc(-c2cnc(Nc3ccc(OCCN4CCCC4)cc3)s2)cc1,100.59,0,20000,-4.301029996,92.72,0,6368.131868,-3.804012048,107.9,0,20000,-4.301029996,106.36,0,20000,-4.301029996
CC(=O)c1ccc(N2CCOCC2)cc1O,104.25,0,20000,-4.301029996,93.62,0,7336.990596,-3.865517962,103.59,0,20000,-4.301029996,109.92,0,20000,-4.301029996
O=C(c1ccccc1)c1ccc(N2CCOCC2)cc1O,107.61,0,20000,-4.301029996,94.09,0,7960.236887,-3.900925992,102.59,0,20000,-4.301029996,110.43,0,20000,-4.301029996
COc1cc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2cc1OC,101.01,0,20000,-4.301029996,94.31,0,8287.346221,-3.918415483,107.94,0,20000,-4.301029996,103.34,0,20000,-4.301029996
CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,90.43,0,4724.660397,-3.674370597,94.33,0,8318.342152,-3.92003678,99.31,0,20000,-4.301029996,99.53,0,20000,-4.301029996
CN(C)c1ccc(C=C2C(=O)Nc3ccccc32)cc1,104.82,0,20000,-4.301029996,94.84,0,9189.922481,-3.963311848,112.69,0,20000,-4.301029996,103.26,0,20000,-4.301029996
O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,103.68,0,20000,-4.301029996,94.9,0,9303.921569,-3.968666041,103.41,0,20000,-4.301029996,110.86,0,20000,-4.301029996
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,108.3,0,20000,-4.301029996,95.15,0,9809.278351,-3.991637058,102.86,0,20000,-4.301029996,103.47,0,20000,-4.301029996
COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1,100.57,0,20000,-4.301029996,96.44,0,13544.94382,-4.131777208,101.78,0,20000,-4.301029996,108.77,0,20000,-4.301029996
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,108.21,0,20000,-4.301029996,96.58,0,14119.88304,-4.149831099,98.02,0,20000,-4.301029996,110.38,0,20000,-4.301029996
Nc1[nH]nc2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,103.59,0,20000,-4.301029996,97.07,0,16564.84642,-4.219187414,104.59,0,20000,-4.301029996,103.67,0,20000,-4.301029996
CCN1C(=CC(C)=O)Sc2ccc(OC)cc21,98.88,0,20000,-4.301029996,97.13,0,16921.60279,-4.228441496,102.92,0,20000,-4.301029996,113.48,0,20000,-4.301029996
Cc1cc2ncc(-c3ccccc3)nc2cc1C,103.44,0,20000,-4.301029996,97.31,0,18087.36059,-4.257375197,101.13,0,20000,-4.301029996,97.62,0,20000,-4.301029996
